principal_id,window_start,query_count,sum_bytes_scanned,max_bytes_scanned,distinct_tables,distinct_sql_hash,shadow_ratio,hour_of_day,anomaly_score,hard_rule_triggered,flagged
analyst-001,2026-05-31 16:45:00+00:00,2,1838369,1025642,1,2,0.0,16,0.90390118511104,False,False
analyst-002,2026-05-31 05:00:00+00:00,5,4577412,1239871,3,5,0.6,5,0.9012661271727626,False,False
analyst-002,2026-05-31 20:45:00+00:00,2,1280005,740246,2,2,0.5,20,0.8806552501395102,False,False
analyst-003,2026-05-31 13:30:00+00:00,1,959588,959588,1,1,0.0,13,0.8710932033810751,False,False
analyst-007,2026-05-31 17:00:00+00:00,5,4933353,1227759,4,4,0.0,17,0.8540103427374172,False,False
analyst-002,2026-05-31 10:45:00+00:00,1,2038074,2038074,1,1,0.0,10,0.8301819381892919,False,False
analyst-009,2026-05-31 10:15:00+00:00,1,980005,980005,1,1,0.0,10,0.8298403400402639,False,False
analyst-003,2026-05-31 06:45:00+00:00,2,4797196,3925435,2,2,1.0,6,0.7988340621281593,False,False
analyst-007,2026-05-31 11:45:00+00:00,3,6131282,4615916,3,3,0.3333333333333333,11,0.790297496551884,False,False
analyst-007,2026-05-31 08:00:00+00:00,4,7690457,5053063,3,4,0.0,8,0.7717846934768327,False,False
analyst-006,2026-05-31 15:30:00+00:00,1,1023661,1023661,1,1,1.0,15,0.7588617107551965,False,False
analyst-003,2026-05-31 11:30:00+00:00,2,1400745,760944,2,2,0.5,11,0.7136173421735129,False,False
analyst-009,2026-05-31 17:15:00+00:00,1,1033942,1033942,1,1,0.0,17,0.709276968015559,False,False
analyst-006,2026-05-31 08:30:00+00:00,1,1047689,1047689,1,1,1.0,8,0.7045539949080503,False,False
analyst-008,2026-05-31 13:00:00+00:00,1,1046485,1046485,1,1,0.0,13,0.7039404684032309,False,False
analyst-003,2026-05-31 10:15:00+00:00,4,4167933,1186012,4,4,0.25,10,0.6874954149222026,False,False
analyst-002,2026-05-31 10:15:00+00:00,4,3575963,1287745,4,4,0.0,10,0.6786887701044969,False,False
analyst-002,2026-05-31 16:15:00+00:00,1,1803152,1803152,1,1,0.0,16,0.6514113962569167,False,False
analyst-002,2026-05-31 09:00:00+00:00,1,1728482,1728482,1,1,0.0,9,0.6285212902846335,False,False
analyst-009,2026-05-31 11:30:00+00:00,1,1707933,1707933,1,1,1.0,11,0.6243958271785137,False,False
analyst-003,2026-05-31 09:15:00+00:00,2,1825026,1235172,1,2,1.0,9,0.6181717745072804,False,False
analyst-002,2026-05-31 01:00:00+00:00,3,2557634,924282,3,3,0.0,1,0.6162862312837631,False,False
analyst-001,2026-05-31 14:45:00+00:00,2,2040999,1161538,1,2,0.0,14,0.600559820481091,False,False
analyst-001,2026-05-31 12:15:00+00:00,1,1591931,1591931,1,1,0.0,12,0.5948576091608304,False,False
analyst-002,2026-05-31 05:30:00+00:00,1,1178859,1178859,1,1,1.0,5,0.587577974808814,False,False
analyst-010,2026-05-31 13:15:00+00:00,1,1195093,1195093,1,1,0.0,13,0.5847840661084954,False,False
analyst-006,2026-05-31 12:30:00+00:00,6,8545649,2442989,3,5,0.3333333333333333,12,0.5791528554689177,False,False
analyst-009,2026-05-31 12:30:00+00:00,1,1175664,1175664,1,1,0.0,12,0.5597902982398385,False,False
analyst-008,2026-05-31 12:45:00+00:00,1,1557653,1557653,1,1,0.0,12,0.556703567530101,False,False
analyst-005,2026-05-31 15:15:00+00:00,1,1552513,1552513,1,1,0.0,15,0.5479828659078325,False,False
analyst-007,2026-05-31 11:30:00+00:00,1,1147482,1147482,1,1,0.0,11,0.5417126785972703,False,False
analyst-003,2026-05-31 14:15:00+00:00,5,8499315,3208504,4,5,0.4,14,0.5287017820889677,False,False
analyst-007,2026-05-31 09:45:00+00:00,2,1957340,1534184,1,2,0.5,9,0.5256064105546712,False,False
analyst-002,2026-05-31 08:45:00+00:00,5,4616410,1535897,3,5,0.2,8,0.5244683755381436,False,False
analyst-008,2026-05-31 10:45:00+00:00,2,3478893,2216065,1,2,0.5,10,0.5088586316756157,False,False
analyst-006,2026-05-31 16:30:00+00:00,3,6198501,4126281,3,3,0.3333333333333333,16,0.5081845311691363,False,False
analyst-005,2026-05-31 12:30:00+00:00,3,5787609,4263922,2,3,0.0,12,0.5067387259895565,False,False
analyst-009,2026-05-31 14:00:00+00:00,1,1321393,1321393,1,1,0.0,14,0.4991972016126462,False,False
analyst-005,2026-05-31 17:15:00+00:00,6,7777115,2348988,3,5,0.16666666666666666,17,0.49734826951590927,False,False
analyst-008,2026-05-31 08:15:00+00:00,1,1280715,1280715,1,1,0.0,8,0.49582593371752914,False,False
analyst-004,2026-05-31 17:00:00+00:00,6,8197259,2391896,4,5,0.3333333333333333,17,0.4910606923111464,False,False
analyst-006,2026-05-31 12:45:00+00:00,2,1930033,1491383,1,2,0.0,12,0.481224847133487,False,False
analyst-008,2026-05-31 22:15:00+00:00,3,6905872,3990061,3,3,0.0,22,0.4766722845323696,False,False
analyst-001,2026-05-31 13:45:00+00:00,4,9006975,2767539,2,3,0.0,13,0.4766008119893926,False,False
analyst-006,2026-05-31 09:00:00+00:00,6,7732924,2649731,4,5,0.3333333333333333,9,0.47636844319015026,False,False
analyst-009,2026-05-31 17:00:00+00:00,3,1927240,1145028,3,3,0.0,17,0.46590117898408406,False,False
analyst-004,2026-05-31 12:45:00+00:00,2,2532671,1881937,1,2,0.0,12,0.4587662405247065,False,False
analyst-005,2026-05-31 10:30:00+00:00,1,1507670,1507670,1,1,0.0,10,0.4553927555626266,False,False
analyst-010,2026-05-31 15:45:00+00:00,1,1496248,1496248,1,1,0.0,15,0.4371591081034946,False,False
analyst-010,2026-05-31 09:00:00+00:00,5,8729490,3033599,3,3,0.2,9,0.4370614676867883,False,False
analyst-005,2026-05-31 17:00:00+00:00,1,1363207,1363207,1,1,1.0,17,0.4360127902471274,False,False
analyst-008,2026-05-31 10:30:00+00:00,2,1390147,856401,2,2,0.0,10,0.4281112388987618,False,False
analyst-001,2026-05-31 09:15:00+00:00,3,2719371,956990,2,2,0.0,9,0.41821779141974497,False,False
analyst-001,2026-05-31 09:30:00+00:00,1,1406275,1406275,1,1,0.0,9,0.4163267090615311,False,False
analyst-009,2026-05-31 14:45:00+00:00,2,2308034,1541285,1,2,0.0,14,0.40034194928771544,False,False
analyst-001,2026-05-31 13:15:00+00:00,2,2247596,1287681,1,2,0.5,13,0.3975985715241518,False,False
analyst-001,2026-05-31 01:00:00+00:00,1,1418516,1418516,1,1,0.0,1,0.3806898143095717,False,False
analyst-004,2026-05-31 16:45:00+00:00,2,3407642,1808017,1,2,0.0,16,0.3775973748573352,False,False
analyst-010,2026-05-31 09:15:00+00:00,2,2980045,1800897,1,2,0.0,9,0.3658806131853634,False,False
analyst-007,2026-05-31 12:30:00+00:00,4,8221414,3115000,4,4,0.0,12,0.36493139817174036,False,False
analyst-010,2026-05-31 13:30:00+00:00,2,2709186,1541929,1,2,0.0,13,0.3533054778941308,False,False
analyst-009,2026-05-31 16:00:00+00:00,4,5308313,1574233,2,2,0.0,16,0.34549276414843366,False,False
analyst-003,2026-05-31 19:45:00+00:00,4,5939306,3323162,2,4,0.5,19,0.3429916338875498,False,False
analyst-001,2026-05-31 12:30:00+00:00,5,8675695,3690276,3,4,0.2,12,0.32598931810150494,False,False
analyst-002,2026-05-31 14:00:00+00:00,4,3502055,1325528,2,2,0.25,14,0.2710211175322425,False,False
analyst-010,2026-05-31 12:45:00+00:00,2,4960028,3250626,2,2,0.0,12,0.2614493990432004,False,False
analyst-003,2026-05-31 16:30:00+00:00,6,7791636,2283403,3,4,0.3333333333333333,16,0.24960787068462398,False,False
analyst-005,2026-05-31 11:45:00+00:00,5,4421820,1248738,3,4,0.0,11,0.24649490215492467,False,False
analyst-001,2026-05-31 14:00:00+00:00,5,4749627,1266000,3,4,0.4,14,0.20360939092709182,False,False
analyst-004,2026-05-31 09:45:00+00:00,4,8407278,3294884,3,3,0.0,9,0.2008329083990586,False,False
analyst-010,2026-05-31 12:30:00+00:00,5,7913542,2362651,4,5,0.2,12,0.1790674805460064,False,False
analyst-006,2026-05-31 13:45:00+00:00,2,1530842,852535,2,2,0.0,13,0.1769297126564017,False,False
analyst-006,2026-05-31 10:15:00+00:00,2,1450583,914181,2,2,0.0,10,0.16721291342577516,False,False
analyst-003,2026-05-31 17:15:00+00:00,4,4275243,1512803,2,4,0.5,17,0.16462297030679013,False,False
analyst-007,2026-05-31 05:45:00+00:00,5,7688912,2281974,4,5,0.2,5,0.1397994753522325,False,False
analyst-007,2026-05-31 17:15:00+00:00,5,7605575,2934771,4,4,0.4,17,0.12461625097012996,False,False
analyst-005,2026-05-31 03:30:00+00:00,5,6962803,2075078,4,5,0.2,3,0.10872832062935456,False,False
analyst-010,2026-05-31 15:15:00+00:00,5,7962637,2469256,4,4,0.4,15,0.09369735134503933,False,False
analyst-006,2026-05-31 09:45:00+00:00,5,6908263,2099493,4,5,0.4,9,0.08582397892657348,False,False
analyst-009,2026-05-31 15:15:00+00:00,4,3924620,1143711,3,3,0.5,15,0.08474969252509001,False,False
analyst-003,2026-05-31 15:15:00+00:00,3,2642566,1049752,3,3,0.0,15,0.06279125275846259,False,False
analyst-002,2026-05-31 16:30:00+00:00,3,7376290,3224342,2,3,0.3333333333333333,16,0.046429383798889945,False,False
analyst-004,2026-05-31 14:30:00+00:00,4,3498313,1214241,3,4,0.25,14,0.0367971823023751,False,False
analyst-010,2026-05-31 15:30:00+00:00,2,3846579,3415350,2,2,0.0,15,0.02842825379984764,False,False
analyst-006,2026-05-31 11:30:00+00:00,4,4689386,1456192,4,4,0.5,11,0.024245165926290058,False,False
analyst-010,2026-05-31 17:45:00+00:00,3,5915365,3762181,3,3,0.3333333333333333,17,0.022023768106298462,False,False
analyst-008,2026-05-31 22:45:00+00:00,3,7414259,3123693,3,3,0.3333333333333333,22,0.006157217498003534,False,False
analyst-001,2026-05-31 00:45:00+00:00,4,7356805,2852717,3,3,0.25,0,0.0,False,False
analyst-001,2026-05-31 09:00:00+00:00,2,2162190,1616696,2,2,0.5,9,0.0,False,False
analyst-001,2026-05-31 09:45:00+00:00,2,3314253,1843395,2,2,0.5,9,0.0,False,False
analyst-001,2026-05-31 10:00:00+00:00,4,4506441,1820780,3,3,0.5,10,0.0,False,False
analyst-001,2026-05-31 10:15:00+00:00,3,4122644,1867166,3,3,0.0,10,0.0,False,False
analyst-001,2026-05-31 10:30:00+00:00,3,4917818,2273377,2,3,0.3333333333333333,10,0.0,False,False
analyst-001,2026-05-31 10:45:00+00:00,2,2411883,1403003,2,2,0.0,10,0.0,False,False
analyst-001,2026-05-31 11:00:00+00:00,4,4182130,1811428,3,4,0.25,11,0.0,False,False
analyst-001,2026-05-31 11:45:00+00:00,5,7455944,2692066,3,5,0.2,11,0.0,False,False
analyst-001,2026-05-31 12:00:00+00:00,4,3885415,1337437,3,3,0.0,12,0.0,False,False
analyst-001,2026-05-31 13:00:00+00:00,2,4056601,3024710,2,2,0.0,13,0.0,False,False
analyst-001,2026-05-31 13:30:00+00:00,4,3997496,1498237,3,4,0.25,13,0.0,False,False
analyst-001,2026-05-31 14:15:00+00:00,3,3689436,1925681,2,3,0.0,14,0.0,False,False
analyst-001,2026-05-31 15:00:00+00:00,2,4153301,2500104,2,2,0.5,15,0.0,False,False
analyst-001,2026-05-31 15:30:00+00:00,3,3635056,1596247,2,3,0.3333333333333333,15,0.0,False,False
analyst-001,2026-05-31 15:45:00+00:00,3,3522368,1475107,3,3,0.3333333333333333,15,0.0,False,False
analyst-001,2026-05-31 16:15:00+00:00,4,7297214,3429258,3,4,0.25,16,0.0,False,False
analyst-001,2026-05-31 16:30:00+00:00,3,2777288,1132386,3,3,0.0,16,0.0,False,False
analyst-002,2026-05-31 01:30:00+00:00,5,5815832,1649782,3,4,0.2,1,0.0,False,False
analyst-002,2026-05-31 05:45:00+00:00,3,3855565,2079730,2,2,0.3333333333333333,5,0.0,False,False
analyst-002,2026-05-31 08:00:00+00:00,4,5181765,1926797,3,4,0.0,8,0.0,False,False
analyst-002,2026-05-31 08:15:00+00:00,3,3050289,1908531,3,3,0.0,8,0.0,False,False
analyst-002,2026-05-31 08:30:00+00:00,3,4795886,1828429,3,3,0.3333333333333333,8,0.0,False,False
analyst-002,2026-05-31 09:30:00+00:00,3,3848253,1945919,3,3,0.0,9,0.0,False,False
analyst-002,2026-05-31 09:45:00+00:00,2,1984269,1140781,2,2,0.0,9,0.0,False,False
analyst-002,2026-05-31 10:30:00+00:00,2,2715552,1571725,2,2,0.0,10,0.0,False,False
analyst-002,2026-05-31 11:15:00+00:00,3,3101744,1272445,2,2,0.6666666666666666,11,0.0,False,False
analyst-002,2026-05-31 12:15:00+00:00,4,6175675,2313276,4,4,0.5,12,0.0,False,False
analyst-002,2026-05-31 12:45:00+00:00,3,2762809,1335390,3,3,0.0,12,0.0,False,False
analyst-002,2026-05-31 13:00:00+00:00,4,5097837,2124101,3,4,0.5,13,0.0,False,False
analyst-002,2026-05-31 13:45:00+00:00,3,4721725,1966077,2,3,0.3333333333333333,13,0.0,False,False
analyst-002,2026-05-31 14:15:00+00:00,3,4517303,2053778,3,3,0.3333333333333333,14,0.0,False,False
analyst-002,2026-05-31 15:00:00+00:00,2,3348129,1688517,2,2,0.0,15,0.0,False,False
analyst-002,2026-05-31 15:15:00+00:00,2,2247891,1569719,2,2,0.0,15,0.0,False,False
analyst-002,2026-05-31 15:45:00+00:00,3,4031755,1718838,3,3,0.0,15,0.0,False,False
analyst-002,2026-05-31 16:45:00+00:00,3,2666432,1367701,2,2,0.3333333333333333,16,0.0,False,False
analyst-002,2026-05-31 17:00:00+00:00,4,5177278,2795908,4,4,0.25,17,0.0,False,False
analyst-002,2026-05-31 17:15:00+00:00,2,3004912,1850680,2,2,0.5,17,0.0,False,False
analyst-002,2026-05-31 17:30:00+00:00,3,4618179,2750946,3,3,0.0,17,0.0,False,False
analyst-003,2026-05-31 02:30:00+00:00,4,5748239,1806129,3,3,0.0,2,0.0,False,False
analyst-003,2026-05-31 08:00:00+00:00,4,5594177,1867186,2,3,0.0,8,0.0,False,False
analyst-003,2026-05-31 08:30:00+00:00,2,2290066,1472227,2,2,0.0,8,0.0,False,False
analyst-003,2026-05-31 09:30:00+00:00,4,8137560,2452118,3,3,0.25,9,0.0,False,False
analyst-003,2026-05-31 09:45:00+00:00,3,5205629,3580447,3,3,0.3333333333333333,9,0.0,False,False
analyst-003,2026-05-31 10:00:00+00:00,2,4187919,2402865,2,2,0.0,10,0.0,False,False
analyst-003,2026-05-31 10:30:00+00:00,4,4771537,2404568,3,3,0.0,10,0.0,False,False
analyst-003,2026-05-31 10:45:00+00:00,4,4434938,1875493,3,4,0.0,10,0.0,False,False
analyst-003,2026-05-31 11:00:00+00:00,3,4550328,2015056,3,3,0.3333333333333333,11,0.0,False,False
analyst-003,2026-05-31 12:15:00+00:00,4,4435651,1441003,3,4,0.0,12,0.0,False,False
analyst-003,2026-05-31 13:00:00+00:00,4,4483845,1396338,3,4,0.25,13,0.0,False,False
analyst-003,2026-05-31 13:15:00+00:00,3,5688426,2404199,2,3,0.0,13,0.0,False,False
analyst-003,2026-05-31 14:00:00+00:00,4,5760928,2546374,3,4,0.0,14,0.0,False,False
analyst-003,2026-05-31 15:00:00+00:00,2,3277744,1862394,2,2,0.0,15,0.0,False,False
analyst-003,2026-05-31 15:30:00+00:00,2,2201297,1458173,2,2,0.5,15,0.0,False,False
analyst-003,2026-05-31 15:45:00+00:00,2,1884425,992709,2,2,1.0,15,0.0,False,False
analyst-003,2026-05-31 16:15:00+00:00,5,6742486,2030094,3,5,0.4,16,0.0,False,False
analyst-003,2026-05-31 16:45:00+00:00,3,4717695,1777971,2,3,0.0,16,0.0,False,False
analyst-003,2026-05-31 17:00:00+00:00,2,1572599,948674,2,2,0.0,17,0.0,False,False
analyst-004,2026-05-31 03:00:00+00:00,3,3189366,1678327,3,3,0.3333333333333333,3,0.0,False,False
analyst-004,2026-05-31 08:00:00+00:00,3,4509726,2150900,2,2,0.3333333333333333,8,0.0,False,False
analyst-004,2026-05-31 08:15:00+00:00,4,4203407,1532713,3,3,0.25,8,0.0,False,False
analyst-004,2026-05-31 08:30:00+00:00,3,2746070,1274290,2,2,0.3333333333333333,8,0.0,False,False
analyst-004,2026-05-31 09:00:00+00:00,4,4192873,2324954,2,3,0.5,9,0.0,False,False
analyst-004,2026-05-31 09:30:00+00:00,2,1887807,1379525,2,2,0.5,9,0.0,False,False
analyst-004,2026-05-31 10:15:00+00:00,2,2482867,1244827,2,2,0.5,10,0.0,False,False
analyst-004,2026-05-31 11:15:00+00:00,3,4688220,2593224,2,3,0.0,11,0.0,False,False
analyst-004,2026-05-31 11:30:00+00:00,4,5123223,2193255,4,4,0.5,11,0.0,False,False
analyst-004,2026-05-31 11:45:00+00:00,3,3419668,1743578,2,3,0.0,11,0.0,False,False
analyst-004,2026-05-31 12:30:00+00:00,2,3715034,2047957,2,2,0.0,12,0.0,False,False
analyst-004,2026-05-31 13:00:00+00:00,2,1782467,973028,2,2,0.5,13,0.0,False,False
analyst-004,2026-05-31 13:15:00+00:00,2,2010504,1453297,2,2,0.5,13,0.0,False,False
analyst-004,2026-05-31 13:45:00+00:00,3,4796694,2192556,2,2,0.3333333333333333,13,0.0,False,False
analyst-004,2026-05-31 14:15:00+00:00,3,3580590,1727818,2,3,0.0,14,0.0,False,False
analyst-004,2026-05-31 14:45:00+00:00,2,2417640,2046053,2,2,0.0,14,0.0,False,False
analyst-004,2026-05-31 15:00:00+00:00,2,2543113,1558730,2,2,0.0,15,0.0,False,False
analyst-004,2026-05-31 15:15:00+00:00,4,5440685,1807208,3,4,0.0,15,0.0,False,False
analyst-004,2026-05-31 15:30:00+00:00,2,2349333,1371863,2,2,0.0,15,0.0,False,False
analyst-004,2026-05-31 16:00:00+00:00,2,1603869,1120351,2,2,0.0,16,0.0,False,False
analyst-004,2026-05-31 16:30:00+00:00,3,2409364,1476129,3,3,0.0,16,0.0,False,False
analyst-004,2026-05-31 17:15:00+00:00,4,5462826,2983173,3,4,0.25,17,0.0,False,False
analyst-004,2026-05-31 17:30:00+00:00,3,3784594,1619334,3,3,0.3333333333333333,17,0.0,False,False
analyst-005,2026-05-31 06:45:00+00:00,3,3149109,1165304,3,3,0.3333333333333333,6,0.0,False,False
analyst-005,2026-05-31 09:30:00+00:00,3,3459602,1576636,2,3,0.3333333333333333,9,0.0,False,False
analyst-005,2026-05-31 09:45:00+00:00,3,2835320,1518089,2,3,0.3333333333333333,9,0.0,False,False
analyst-005,2026-05-31 10:00:00+00:00,3,3880436,1616249,2,3,0.0,10,0.0,False,False
analyst-005,2026-05-31 10:15:00+00:00,3,3426716,1706747,2,3,0.0,10,0.0,False,False
analyst-005,2026-05-31 11:30:00+00:00,2,1774968,1057063,2,2,0.0,11,0.0,False,False
analyst-005,2026-05-31 12:00:00+00:00,2,3021491,1538769,2,2,0.5,12,0.0,False,False
analyst-005,2026-05-31 13:00:00+00:00,3,3680819,1789949,2,3,0.3333333333333333,13,0.0,False,False
analyst-005,2026-05-31 13:15:00+00:00,4,4659005,1672450,4,4,0.0,13,0.0,False,False
analyst-005,2026-05-31 13:30:00+00:00,2,3960994,2604231,2,2,0.5,13,0.0,False,False
analyst-005,2026-05-31 13:45:00+00:00,3,5115636,2110462,3,3,0.3333333333333333,13,0.0,False,False
analyst-005,2026-05-31 14:15:00+00:00,4,8214014,2629264,3,4,0.0,14,0.0,False,False
analyst-005,2026-05-31 14:45:00+00:00,4,5479347,2525680,3,3,0.0,14,0.0,False,False
analyst-005,2026-05-31 15:30:00+00:00,2,2688463,1799335,2,2,0.5,15,0.0,False,False
analyst-005,2026-05-31 16:30:00+00:00,2,3296021,1829406,2,2,0.0,16,0.0,False,False
analyst-005,2026-05-31 17:30:00+00:00,3,3288253,2171836,3,3,0.0,17,0.0,False,False
analyst-005,2026-05-31 17:45:00+00:00,4,5272607,1650217,3,4,0.0,17,0.0,False,False
analyst-006,2026-05-31 08:15:00+00:00,3,3308408,2285167,3,3,0.3333333333333333,8,0.0,False,False
analyst-006,2026-05-31 10:00:00+00:00,4,4418205,1393999,3,3,0.25,10,0.0,False,False
analyst-006,2026-05-31 10:45:00+00:00,4,6184154,3883859,3,4,0.25,10,0.0,False,False
analyst-006,2026-05-31 11:15:00+00:00,3,3618730,1480209,2,2,0.6666666666666666,11,0.0,False,False
analyst-006,2026-05-31 12:00:00+00:00,4,6577855,2546572,3,3,0.25,12,0.0,False,False
analyst-006,2026-05-31 12:15:00+00:00,2,3167491,2399789,2,2,0.5,12,0.0,False,False
analyst-006,2026-05-31 13:15:00+00:00,3,2687125,1275239,2,2,0.3333333333333333,13,0.0,False,False
analyst-006,2026-05-31 14:00:00+00:00,4,5689429,2044710,3,4,0.0,14,0.0,False,False
analyst-006,2026-05-31 15:45:00+00:00,3,5734368,2482878,2,3,0.0,15,0.0,False,False
analyst-006,2026-05-31 17:45:00+00:00,3,4969914,1851839,3,3,0.0,17,0.0,False,False
analyst-007,2026-05-31 08:30:00+00:00,3,3569313,1579026,2,2,0.3333333333333333,8,0.0,False,False
analyst-007,2026-05-31 09:00:00+00:00,3,3685055,1696825,3,3,0.0,9,0.0,False,False
analyst-007,2026-05-31 10:00:00+00:00,2,4978353,2826012,2,2,0.0,10,0.0,False,False
analyst-007,2026-05-31 10:30:00+00:00,3,3429109,1584667,3,3,0.0,10,0.0,False,False
analyst-007,2026-05-31 12:00:00+00:00,2,2109570,1412379,2,2,0.5,12,0.0,False,False
analyst-007,2026-05-31 13:45:00+00:00,4,5482485,2431082,4,4,0.25,13,0.0,False,False
analyst-007,2026-05-31 14:00:00+00:00,4,5270658,2269098,2,3,0.5,14,0.0,False,False
analyst-007,2026-05-31 14:45:00+00:00,3,5063852,2564960,3,3,0.0,14,0.0,False,False
analyst-007,2026-05-31 15:00:00+00:00,2,3354097,1980110,2,2,0.0,15,0.0,False,False
analyst-007,2026-05-31 15:15:00+00:00,4,5653021,2028493,3,3,0.25,15,0.0,False,False
analyst-007,2026-05-31 16:15:00+00:00,2,3558957,2511176,2,2,0.5,16,0.0,False,False
